Player,GP,PTS,+/-,PIM,S,TOI,BLK,HIT
Casey Cizikas\cizikca01,73,33,22,36,111,1024,68,129
Fredrik Claesson\claesfr01,37,6,3,9,44,638,33,76
Adam Clendening\clendad01,4,0,1,0,3,43,3,1
Kyle Clifford\cliffky01,72,21,4,96,115,755,24,115
Connor Clifton\cliftco01,19,1,5,15,22,336,13,40
Cal Clutterbuck\cluttca01,73,23,6,44,95,1020,40,209
Braydon Coburn\coburbr01,74,23,4,34,113,1192,62,96
Andrew Cogliano\coglian01,78,17,1,22,106,982,32,68
Ian Cole\coleia01,71,15,-1,115,82,1403,178,107
Blake Coleman\colembl01,78,36,-19,71,213,1327,44,225
Blake Comeau\comeabl01,77,18,-7,42,102,1211,40,208
J.T. Compher\comphj.01,66,32,-8,31,118,1153,59,33
Max Comtois\comtoma01,10,7,3,7,9,146,3,27
Cory Conacher\conacco01,1,0,0,2,1,9,0,0
Erik Condra\condrer01,6,1,-2,2,10,76,1,3
Kevin Connauton\connake01,50,8,-2,22,76,918,75,108
Brett Connolly\connobr01,81,46,13,24,139,1080,25,53
Kyle Connor\connoky01,82,66,-7,18,227,1579,21,9
Andrew Copp\coppan01,69,25,20,6,82,839,34,71
Nick Cousins\cousini01,81,27,-8,35,144,1097,51,115
Logan Couture\coutulo01,81,70,-6,22,204,1506,52,65
Sean Couturier\coutuse01,80,76,2,34,223,1770,60,40
Charlie Coyle\coylech01,81,34,-1,20,155,1359,56,77
Adam Cracknell\crackad01,2,0,-1,0,3,21,0,6
Sidney Crosby\crosbsi01,79,100,18,36,220,1658,43,85
Lawson Crouse\crousla01,81,25,5,67,131,1049,44,288
Matt Cullen\cullema01,71,20,6,14,87,817,31,32
Josh Currie\currijo01,21,5,2,2,19,183,17,39
Austin Czarnik\czarnau01,54,18,-1,8,65,612,24,10
Evgenii Dadonov\dadonev01,82,70,-6,8,195,1506,42,33
Rasmus Dahlin\dahlira01,82,44,-13,34,177,1735,66,97
Carl Dahlstrom\dahlsca01,38,6,9,6,42,707,35,33
Michael Dal Colle\dalcomi01,28,7,3,2,34,339,8,10
Trevor Daley\daleytr01,44,8,-3,12,47,817,53,14
Zac Dalpe\dalpeza01,1,1,1,0,1,9,0,0
Phillip Danault\danauph01,81,53,17,39,132,1440,60,95
Marko Daňo\danoma01,8,0,-1,7,3,55,3,16
Laurent Dauphin\dauphla01,1,0,-1,0,2,12,1,0
Brandon Davidson\davidbr01,10,1,-4,15,7,138,15,17
Calvin de Haan\dehaaca01,74,14,1,20,102,1370,106,187
Jacob de La Rose\delarja01,60,9,-13,16,55,686,29,72
Chase De Leo\deleoch01,1,0,1,0,4,13,0,1
Jean-Sebastien Dea\deaje01,23,6,0,8,29,236,12,21
Anthony DeAngelo\deangan01,61,30,6,77,111,1179,82,54
Alex DeBrincat\debrial01,82,76,0,15,220,1451,26,35
Jake Debrusk\debruja01,68,42,2,18,156,1099,24,45
Danny DeKeyser\dekeyda01,52,20,2,39,59,1142,94,79
Michael Del Zotto\delzomi01,42,10,-2,8,45,715,53,129
Dylan DeMelo\demeldy01,77,22,-1,32,109,1485,130,121
Jason Demers\demerja01,35,8,9,12,39,700,43,50
Travis Dermott\dermotr01,64,17,-5,22,98,1108,57,100
Nicolas Deslauriers\deslani01,48,5,-12,22,48,482,22,135
Phillip Di Giuseppe\digiuph01,24,4,-3,8,31,243,9,54
Jason Dickinson\dickija01,67,22,9,23,94,896,50,106
Brenden Dillon\dillobr01,82,22,19,61,71,1455,78,201
Christian Djoos\djoosch01,45,10,9,4,33,611,28,18
Max Domi\domima01,82,72,20,80,203,1425,39,53
Ryan Donato\donatry01,56,25,-15,6,139,767,21,24
Matt Donovan\donovma01,2,1,0,2,1,15,3,0
Joonas Donskoi\donskjo01,80,37,10,10,115,1074,36,36
Jake Dotchin\dotchja01,20,1,-4,39,7,236,16,54
Drew Doughty\doughdr01,82,45,-34,44,154,2181,120,168
Nic Dowd\dowdni01,64,22,10,20,47,659,37,97
Justin Dowling\dowliju01,11,1,-4,0,9,139,7,11
Leon Draisaitl\draisle01,82,105,2,52,231,1852,26,57
Sheldon Dries\driessh01,40,6,-7,26,44,363,20,66
Jonathan Drouin\drouijo01,81,53,-8,26,190,1371,23,55
