Player,GP,PTS,+/-,PIM,S,TOI,BLK,HIT
Dale Weise\weiseda01,51,11,-8,19,58,601,21,88
Andy Welinski\welinan01,26,4,-5,8,32,417,18,47
Alexander Wennberg\wennbal01,75,25,-1,12,64,1131,32,34
Zach Werenski\werenza01,82,44,-12,18,168,1878,89,67
Blake Wheeler\wheelbl01,82,91,0,60,231,1698,53,81
Colin White\whiteco02,71,41,-24,24,123,1150,35,23
Colton White\whiteco03,3,0,-2,2,1,43,2,2
Chris Wideman\widemch01,25,7,-12,18,27,326,26,35
Justin Williams\williju01,82,53,-4,44,237,1430,32,55
Colin Wilson\wilsoco01,65,27,-6,8,104,882,31,55
Garrett Wilson\wilsoga01,50,8,2,18,54,381,16,114
Scott Wilson\wilsosc01,15,3,-8,4,25,172,2,29
Tom Wilson\wilsoto01,63,40,11,128,130,1143,52,200
Luke Witkowski\witkolu01,34,2,-5,23,14,326,27,67
Christian Wolanin\wolanch01,30,12,3,6,36,520,31,11
Miles Wood\woodmi01,63,24,-10,91,159,863,27,97
Egor Yakovlev\yakoveg01,25,7,-6,6,24,392,22,12
Kailer Yamamoto\yamamka01,17,2,-6,2,13,222,11,18
Keith Yandle\yandlke01,82,62,-17,50,199,1840,76,47
Pavel Zacha\zachapa01,61,25,-6,15,99,981,24,68
Filip Zadina\zadinfi01,9,3,-5,0,18,138,3,6
Nikita Zadorov\zadorni01,70,14,19,75,100,1204,67,228
Nikita Zaitsev\zaitsni01,81,14,2,18,71,1658,151,139
Travis Zajac\zajactr01,80,46,-25,20,120,1542,38,66
Jakub Zboril\zborija01,2,0,0,0,1,22,0,3
Mika Zibanejad\zibanmi01,82,74,-12,47,236,1686,66,134
Mats Zuccarello\zuccama01,48,40,-8,24,104,953,43,57
Jason Zucker\zuckeja01,81,42,-9,28,214,1383,38,87
Valentin Zykov\zykovva01,28,5,-5,2,29,279,6,26
